Bedriftsnavn;Adresse;Postnummer;Poststed;Godkjenninger;Organisasjonsnummer
Tor & Bjørn Autoservice AS;Storåkeren 9;9411;HARSTAD;BILVERKSTED01, KONTROLLORGAN01;939188282
NERLAND AUTOSALG AS;Tømmervegen 2;6445;MALMEFJORDEN;BILVERKSTED01B, KONTROLLORGAN01B;951734543
ZE-SAM TRAKTOR & MASKIN AS;Melhusveien 397;7224;MELHUS;BILVERKSTED01, MOTORSYKKELOGMOPED, TRAKTOR, KONTROLLORGAN01;961844703
CARGLASS AS;Verkstedveien 13;6517;KRISTIANSUND N;BILGLASS;985758220
HARILA AS, avd. Bardu;Fogd Holmboesgt. 59;9360;BARDU;BILVERKSTED01, KONTROLLORGAN01;917630747
Riis Montasje AS avd. Voss;Lekvemogata 9;5700;VOSS;BILGLASS;921979436
A. Hilling AS;Innhavet;8261;Innhavet;BILVERKSTED01;812676342
Scan Tank Auto AS;Nordre Brurås 33;5131;NYBORG;BILVERKSTED03;998615089
TALIB KARMØY BILPLEIE EKSPRESS;ERLING SKJALGSSONS GATE 43;5523;HAUGESUND;HJUL;914847192
MARE SAFE SEA AS;HALLEBYGDA;6084;LARSNES;PABYGGER;989470043
FELLESKJØPET AGRI SA avd. Kongsvinger;Østre Solørveg 124;2211;KONGSVINGER;TRAKTOR;911608103
REIOL, JENSENS FORETAK;NYHEIM;8188;NORDVERNES;HJUL;958782969
NFM TECHNOLOGY AS;Glynitveien 21;1400;SKI;PABYGGER;987444282
Eng`s Auto A/S;Trøgstad;1860;Trøgstad;BILVERKSTED01;934813669
Bilskadesenteret Tynset AS;Glåmveien 4;2500;Tynset;BILVERKSTED01, BILSKADE;989879464
Dombås Bilberging AS;Jora Industriområde;2660;DOMBÅS;BILVERKSTED01B, KONTROLLORGAN01B;975996093
Maur Bilpåbygg AS;Bokerøyveien;3060;SVELVIK;BILBREMSE, PABYGGER, KONTROLLORGAN04;981381394
Harestua  Auto AS;Kvernhusvegen 13;2743;HARESTUA;BILVERKSTED01, KONTROLLORGAN01;876359022
Felleskjøpet Agri SA avd. Verdal;Russerveien 4;7652;VERDAL;TRAKTOR, HENGERESPALOPSBREMSEANLEGG;911608103
Per Tverfjell Bilomsetning AS;Løkenvegen 2;6422;Molde;BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01;957763812
PRØVEN BIL OPPDAL AS;Vikavn. 2;7340;OPPDAL;BILVERKSTED01, KONTROLLORGAN01, BILVERKSTED01B, KONTROLLORGAN01B;943312214
RIIS MONTASJE AS avd Mjøndalen;Strandveien 39-41;3050;MJØNDALEN;BILGLASS;921979436
Jensens Bilservice AS;Enebakkveien 131;680;OSLO;BILVERKSTED01, KONTROLLORGAN01;997898508
SVEEN MEK. VERKSTED AS;Alderslystveien 231;2324;Vang;BILVERKSTED01, KONTROLLORGAN01;996282147
LARSEN BILSERVICE;PORSGRUNNSVEGEN 350;3919;PORSGRUNN;BILVERKSTED01, KONTROLLORGAN01;916109717
HANSENS BILVERKSTED AS;Radåsv.5;8800;Sandnessjøen;BILVERKSTED01B, KONTROLLORGAN01B;980799530
FØRDE BILSERVICE AS;FLOVEGEN 6;6800;FØRDE;BILVERKSTED01, KONTROLLORGAN01;977270405
Nordic Last & Buss AS avd. Tromsø;Terminalgata 176;9019;Tromsø;FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04;979463332
Leira Bil AS avd. Brekstad;Fjæraveien;7130;BREKSTAD;BILVERKSTED01B, KONTROLLORGAN01B;967407593
Hafjell Bilservice AS;Strømshuguvegen 3;2636;Øyer;BILVERKSTED01B, KONTROLLORGAN01B;989713558
Holt Auto AS;Holt;9334;Øverbygd;BILVERKSTED01, KONTROLLORGAN01;974534401
MYTHE BIL OG CARAVAN AS;Enden 3;3550;GOL;KONTROLLORGAN01, BILVERKSTED01;913939123
Sletta Auto AS;Sletta 10;1870;ØRJE;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;997966139
Åskrysset Auto AS;Langbakken 14;1430;ÅS;BILVERKSTED01B, KONTROLLORGAN01B;996402029
MOTOR FORUM AS AVD.NOTODDEN;Semsvegen 35;3676;NOTODDEN;BILVERKSTED01, KONTROLLORGAN01;957290795
Øvre Sagen Servicesenter;Melåsbergsveien 307;2416;JØMNA;BILVERKSTED01, KONTROLLORGAN01;990780595
OLA`S BILVERKSTED;Torpedalsveien 2;1792;TISTEDAL;BILVERKSTED01, KONTROLLORGAN01;980328333
Simarud Electronic  AS;Regnbueveien 8;1405;Langhus;PABYGGER;926051229
Stovnerbrua Servicesenter AS;Stovnerveien 4;980;OSLO;BILVERKSTED01, KONTROLLORGAN01;978676901
Brødr. Andersen AS;Nordre Ringvei 27;9509;Alta;BILVERKSTED01B, KONTROLLORGAN01B;987612444
STAVANGER DEKKSENTER AS;SJØHAGEN 11;4016;STAVANGER;HJUL;994702203
J. JOHANNESSEN BIL & KAROSS.; Prestfoss;3350;PRESTFOSS;BILVERKSTED01, KONTROLLORGAN01;932197057
Volmax AS Råde;Mosseveien 60;1640;RÅDE;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;984674104
Brages Bilforretning avd. Karosseri;Langøyvegen 17 ;6014;ÅLESUND;BILSKADE;841074602
